"Node","Cluster","Betweenness","Closeness","PageRank"
"big data","1","295.632754983643","0.0158730158730159","0.0968939158954774"
"information","1","12.626787568419","0.0117647058823529","0.0226323797523848"
"prediction","1","8.45180254878608","0.0103092783505155","0.0151924414520358"
"governance","1","4.97969325313567","0.0111111111111111","0.0153836979488723"
"analytics","1","1.32052755159226","0.010752688172043","0.0175602127328504"
"future","1","3.1297390510739","0.0106382978723404","0.0153831971102645"
"classification","1","0.0266666666666667","0.00961538461538462","0.00677249852123639"
"privacy","1","0","0.00900900900900901","0.00649640781415284"
"city","1","0.581231910318668","0.00980392156862745","0.00984147827655114"
"determinants","1","1.96065576001254","0.0105263157894737","0.00895883154001794"
"design","1","0.53146478374951","0.0106382978723404","0.010813402087819"
"performance","2","170.161225842368","0.0149253731343284","0.0568658185087056"
"economy","2","41.1678744084588","0.0120481927710843","0.0273774848991738"
"management","2","14.6842221050345","0.0125","0.0368288022352437"
"systems","2","21.4591661393972","0.012987012987013","0.0350499052599064"
"technology","2","19.2309254436221","0.0128205128205128","0.0358579876420306"
"innovation","2","27.8034821239649","0.0128205128205128","0.0331509875390192"
"behavior","2","0.723611693575721","0.0106382978723404","0.00682034411617788"
"consumption","2","2.27491585330821","0.010752688172043","0.0104891995589069"
"efficiency","2","0.85312664001937","0.01","0.0100904520900019"
"industry","2","1.81911289083422","0.0114942528735632","0.0153561562719824"
"strategies","2","2.83432820671119","0.010989010989011","0.0138853497259338"
"time","2","0.121862665090019","0.00952380952380952","0.00645079115235775"
"competition","2","9.62039161850096","0.00970873786407767","0.0094741822409366"
"impact","3","198.973745088738","0.0144927536231884","0.0514666648147384"
"growth","3","33.6261882052458","0.0114942528735632","0.0163594930726607"
"china","3","19.116015303048","0.0113636363636364","0.0179557304316956"
"models","3","0.0713344817104063","0.00961538461538462","0.00638378020872842"
"quality","3","3.02282524085148","0.0112359550561798","0.0145640145262489"
"policy","3","2.43811375200239","0.0111111111111111","0.0135894745783013"
"risk","3","2.6737822889181","0.0104166666666667","0.00801995304705104"
"economic-growth","3","7.56931980517121","0.010752688172043","0.0180479185013837"
"productivity","3","14.5987542089475","0.01","0.0114086407977606"
"patterns","3","0.669219851515353","0.00917431192660551","0.00663235309923602"
"strategy","3","0.999959387970198","0.0111111111111111","0.0114426602287798"
"trade","3","1.38888888888889","0.0078125","0.00744044217906547"
"countries","3","8.19186714389683","0.01","0.0143993895222168"
"co2 emissions","3","4.27694964469105","0.0101010101010101","0.015367274773255"
"energy-consumption","3","0.573105187082392","0.00925925925925926","0.0130930721565288"
"model","4","37.9362414652585","0.012987012987013","0.0379016681119651"
"system","4","17.8393873587833","0.0120481927710843","0.0241283960058441"
"internet","4","13.8239806252139","0.0123456790123457","0.0346907994676363"
"framework","4","1.37145208376552","0.0116279069767442","0.0166738821324764"
"things","4","0.885012204927954","0.0105263157894737","0.0190930836682918"
"challenges","5","19.7016151275451","0.0126582278481013","0.0305461302015231"
"supply chain management","5","9.13611269503483","0.0116279069767442","0.0227315518065606"
"big data analytics","5","0.812659627125097","0.0103092783505155","0.0128021180502642"
"implementation","5","8.66097314610335","0.0119047619047619","0.0205147861722156"
"sustainability","5","5.64062896084532","0.0111111111111111","0.0144013348834028"
"technologies","5","2.00629851843726","0.0106382978723404","0.0167194631901303"
