"Node","Cluster","Betweenness","Closeness","PageRank"
"no title","1","399.847176091912","0.00291545189504373","0.0323755668936625"
"boyd d 2012","1","12.3614377965467","0.00259067357512953","0.0215284002081634"
"van dijck 2014","1","3.8902289057467","0.00199203187250996","0.0233032117578386"
"mayer-schonberger v. 2013","1","55.4399245811202","0.00274725274725275","0.0213719338193874"
"zuboff s 2015","1","0.585271317829457","0.00196850393700787","0.0217795177830481"
"zuboff s. 2019","1","0.166298342541436","0.00186915887850467","0.0196064463571923"
"kitchin r 2014-1","1","0.887179487179487","0.00196850393700787","0.0237678114440171"
"kitchin r. 2014","1","0.175016060644995","0.001953125","0.0195244738571161"
"andrejevic m 2014","1","0.1","0.00193423597678917","0.0192758216896087"
"kitchin r 2014-2","1","2.163110023307","0.00233644859813084","0.0187668599516339"
"lazer d 2009","1","0","0.00188323917137476","0.0172476510256968"
"barabasi al 1999","1","0","0.00184162062615101","0.016239059627649"
"srnicek n. 2017","1","0.08644053278513","0.00194552529182879","0.0191830719881433"
"chen hc 2012","2","184.820973662425","0.00279329608938547","0.0225952899587783"
"mcafee a 2012","2","77.755179935987","0.00273224043715847","0.0228705309962487"
"gandomi a 2015","2","42.2647527839719","0.002710027100271","0.0244493096192375"
"manyika j. 2011","2","10.3443614864459","0.00268817204301075","0.0223639511028134"
"cohen wm 1990","2","0","0.00176056338028169","0.0187023573162365"
"waller ma 2013","2","111.860368554638","0.00274725274725275","0.0212413061771631"
"baron rm 1986","2","35.9405535150868","0.00267379679144385","0.0213499909571365"
"chen clp 2014","2","1.16100584155427","0.0026246719160105","0.0171119600793541"
"eisenhardt km 1989","2","6.41740647683963","0.00251256281407035","0.021367165039391"
"fornell c 1981","3","9.95939209189389","0.00273972602739726","0.0256908713246241"
"podsakoff pm 2003","3","1.44984535233231","0.002710027100271","0.0229510109965556"
"armstrong js 1977","3","0","0.00247524752475248","0.0244502516126085"
"akter s 2016","3","27.4086853693433","0.00277008310249307","0.0223027349287313"
"bag s 2020","3","0","0.00247524752475248","0.0205859284683309"
"barney j 1991","3","4.88563241911675","0.00271739130434783","0.0213607012212313"
"geissdoerfer m 2017","3","1.39162523623981","0.00255754475703325","0.0219209292261067"
"ghisellini p 2016","3","0","0.00246305418719212","0.0196061531606289"
"wamba sf 2017","3","10.5846740252423","0.00273224043715847","0.0214539463089637"
"gunasekaran a 2017","3","5.93823783893307","0.00273224043715847","0.0201509754101337"
"lieder m 2016","3","3.35852841798727","0.00252525252525253","0.0198836476163098"
"raut rd 2019","3","0.665331108328391","0.00255102040816327","0.0201584696437756"
"wang g 2016","3","55.3666926753984","0.00276243093922652","0.023392830260773"
"davis fd 1989","3","0","0.00261096605744125","0.0166609144728968"
"dubey r 2016","3","4.62860148512366","0.00257731958762887","0.0220698384090693"
"dubey r 2019","3","5.0960685835001","0.00261780104712042","0.0228948890923009"
"dean j 2004","4","67.4377773029947","0.00263852242744063","0.0218200820237856"
"hashem iat 2016","4","47.5622226970053","0.00255102040816327","0.018480821301323"
"zaharia m 2016","4","0","0.00176678445229682","0.0230853467118109"
"deb k 2002","4","0","0.00172711571675302","0.017475097388195"
"arellano m 1991","5","0","0.000471698113207547","0.0173203950249454"
"blundell r 1998","5","0","0.000471698113207547","0.0173203950249454"
"breiman l 2001","6","0","0.000480076812289966","0.0210808324706265"
"lecun y 2015","6","0","0.000480076812289966","0.0210808324706265"
"pedregosa f 2011","6","1","0.000481231953801732","0.0307804177811855"
